kmeans,fcm,fcm_membership,qkmeans,qfcm,qfcm_membership
0,0,0.4527553856061236,0,0,0.9357167204570884
0,0,0.4499519083947458,0,0,0.9614989968223381
0,0,0.4575552074374338,0,0,0.9592132854987574
0,0,0.46174310562299814,0,0,0.9599887109492616
0,0,0.45711423267958556,0,0,0.8720084440849195
0,0,0.44191814402932206,0,0,0.9453167250371908
0,0,0.44588684524112226,0,0,0.9460760713311287
0,0,0.4408631920544134,0,0,0.9977754635171598
0,0,0.4521507432728722,0,0,0.9952367342365473
0,0,0.42700598929936207,0,0,0.9966327863349094
0,0,0.2738888970736379,2,2,0.5379196320061236
0,2,0.41180593599542425,2,2,0.6375092640191232
0,4,0.28478408171886965,4,4,0.8745884864419529
0,4,0.2907964168914877,1,1,0.6010769395290297
0,4,0.29936185575432955,0,0,0.34871143177319425
0,4,0.3689672728890865,4,4,0.33526521249099206
0,4,0.4643772045129213,0,0,0.6602602721094682
3,4,0.4047842886327694,0,0,0.9916189246184566
0,4,0.39932039833019545,0,0,0.9218040958308438
2,4,0.5709141555445619,3,3,0.8714122320587234
3,4,0.760859263405924,4,4,0.951722053800445
3,4,0.7725152571805974,4,4,0.6851947647968567
3,4,0.8154440253973915,4,4,0.9410585950197302
3,4,0.7735691322342564,4,4,0.8105438816390403
3,4,0.7335196431558358,4,4,0.5018283145310948
3,4,0.6934601332970077,4,4,0.3668575604703857
3,4,0.6821132056335947,4,4,0.368227866922582
3,4,0.6659864873227876,4,4,0.35262192451562474
3,4,0.6163489349603198,4,4,0.29662275106880115
3,4,0.5669655525048927,4,4,0.2886492142631635
3,4,0.5214607359251351,2,2,0.6819955540487636
3,4,0.44970322530529433,3,3,0.5104136552128923
0,4,0.43465045482537595,1,1,0.4550142353413444
0,4,0.43045315732880873,1,1,0.46632406717311226
0,4,0.3885186899503434,4,4,0.2814832804620285
0,4,0.34413019483181034,1,1,0.3292018032229759
0,3,0.3368157275700158,2,1,0.37424150880338025
2,3,0.41264883838625444,2,2,0.6957183001383234
2,2,0.4314502006351621,2,2,0.9983146189426765
2,2,0.43126834101403566,0,2,0.644307841502197
2,2,0.4002833405700057,2,2,0.978983696800921
2,2,0.3925302512315053,2,2,0.9545602554586885
2,2,0.37429358628420917,2,2,0.9916888768271005
2,2,0.40312044440912453,2,2,0.9985019888433051
2,2,0.40327179223208737,2,2,0.9925412762913374
2,2,0.4123566439469489,2,2,0.9933068220743296
2,2,0.4149688507140336,2,2,0.9944167343167959
2,2,0.40800151346583935,2,2,0.996440708978169
2,2,0.41549624455564654,2,2,0.9819814118562656
2,2,0.4198225524805912,2,2,0.9999591644012649
2,2,0.41766657468437957,2,2,0.999574391859004
2,2,0.4317216526197645,2,2,0.9994707799411097
2,2,0.42729072388015743,2,2,0.999680966678382
2,2,0.431923610024511,2,2,0.9998298671696654
2,2,0.4304063094230639,2,2,0.8934863912292356
2,2,0.42464319653922816,2,2,0.9593980960471863
2,2,0.43127307727391445,2,2,0.946614235087393
2,3,0.42158413359883856,2,2,0.940325568966378
2,2,0.4391501759659798,2,2,0.9844939080772255
2,2,0.4085288865126304,2,2,0.9822035998789155
0,2,0.3517066906150909,2,2,0.9278640053120707
0,0,0.24601752350445188,2,2,0.6935628718237807
0,0,0.3202910199905949,2,2,0.47316762267412754
0,0,0.39164431842618086,0,0,0.4853115860451435
3,0,0.4398025710166534,0,0,0.6966628882115695
0,0,0.4509373762680566,0,0,0.9999476095577884
0,0,0.4527883493977745,0,0,0.9988076097749412
0,0,0.44783649101617606,0,0,0.9954872151233648
0,0,0.44904291491220233,0,0,0.9436077349530619
0,0,0.4414680607144503,0,0,0.993621407327408
0,0,0.4440908613676815,0,0,0.9993057182206719
0,0,0.4543044610095996,0,0,0.9426670570390006
0,0,0.4534987529149864,0,0,0.4346301150931857
0,0,0.4435607672389742,0,0,0.7705123175902122
0,0,0.4501702298101955,0,0,0.5094574969161187
0,0,0.45108910670696695,1,1,0.504024129911575
0,0,0.4460156494679126,0,0,0.8096552446509655
0,0,0.4514984497126256,0,0,0.7785807007251634
0,0,0.4540649541281177,0,0,0.5300847015408189
0,0,0.4446185265395028,0,0,0.8046573586562406
0,0,0.44809383175543765,0,0,0.8043898838493083
3,0,0.45201940648427424,0,0,0.8051830276954711
3,0,0.4377990598775029,0,0,0.96903288170604
3,0,0.4386209381764942,0,0,0.9972749916945297
3,0,0.43427316090728724,0,0,0.9906733614239762
0,0,0.4171180744254339,0,0,0.9396618587986544
3,0,0.32685648592391386,2,2,0.44972906353518954
3,2,0.2751319124644711,2,2,0.8720111403527112
2,2,0.38036254013246046,2,2,0.9926574864217902
2,2,0.45062517533247726,2,2,0.9991512460273211
2,2,0.4411601972761709,2,2,0.9941843803949
2,3,0.41597849007270987,0,0,0.9930366074105328
3,4,0.49692187294243134,3,3,0.7656583355992493
3,4,0.8147510332754799,4,4,0.9255711587307558
3,4,0.7501740802905502,4,4,0.9537617510218296
3,4,0.35992261706792095,3,0,0.6353422959997359
3,3,0.36006503967957204,0,0,0.9808650835043612
0,3,0.3858204792364313,0,0,0.8019342568865803
2,3,0.42314520669851835,0,0,0.8716904507016662
2,3,0.42218505198121187,0,0,0.5413814788373986
0,0,0.438356292712277,0,0,0.9995703351063842
0,0,0.4432425617842121,0,0,0.6580539792861873
0,0,0.4378935640245466,0,0,0.9484103085551869
0,0,0.44524180215205184,0,0,0.9063105667728047
3,0,0.43815278910715094,0,0,0.7835514019741234
0,0,0.4444983883394363,0,0,0.9999409263572863
0,0,0.440657096726909,0,0,0.804776555866065
0,0,0.4387699279315481,0,0,0.9964215758610282
0,0,0.4248397374218407,0,0,0.9867250667037172
0,0,0.4135422839785245,0,0,0.806331638015418
0,0,0.28347390642392023,0,0,0.5661112438598307
0,2,0.36587558672529463,2,2,0.8602407965068095
0,3,0.28091611113632425,4,4,0.31730654598281605
0,4,0.3112908300587122,0,2,0.36666776643447324
0,4,0.31812692688096694,4,4,0.41389893452823323
0,4,0.2879035507558192,2,1,0.39094086552564894
2,3,0.3612563355123505,2,2,0.5685985330777509
2,3,0.36288824597922,0,0,0.6961742456829775
2,3,0.3378591286332532,0,0,0.9936992918196829
2,3,0.3504506059306581,0,0,0.9978445115782746
2,3,0.33754020953790875,0,0,0.9901425687590732
2,3,0.3522491084544965,0,0,0.9985282083487751
2,3,0.34511853327986436,0,0,0.9983945159480232
2,3,0.3799963633367486,0,0,0.9997770468812387
2,3,0.374431134565681,0,0,0.7601120308820335
2,3,0.36853669574346576,0,0,0.9999492070936467
2,3,0.3082230437568835,0,0,0.9600664168709199
2,4,0.37068822006791885,0,0,0.8951446249077518
2,4,0.35558029537108105,0,0,0.9415144527951836
2,4,0.40234524987132736,0,0,0.8401051550253481
3,4,0.527965634812794,0,0,0.5508178133654842
0,4,0.5153510098542327,1,1,0.9685806928335978
0,4,0.43620668964807274,1,1,0.6489945113786059
0,4,0.37274225182931664,1,1,0.496520524523823
0,3,0.3136257958439866,1,1,0.3737266294060349
0,3,0.3607429481775193,2,2,0.3781640502800613
2,3,0.3948828236958834,2,2,0.5440947307273702
2,2,0.40084509605162066,2,2,0.9601933007068699
2,2,0.4065203745140464,2,2,0.9999597955086451
2,2,0.39064177264744027,2,2,0.9999619996407847
2,2,0.3770952395570586,2,2,0.9978155548997663
2,2,0.36659182074858654,2,2,0.9683732363879446
2,2,0.37636239658975,2,2,0.9947649648869037
2,2,0.36682796487548275,2,2,0.8835126575478875
2,2,0.41467366977077585,2,2,0.9067767946176818
2,2,0.4158396237067837,2,2,0.9767255460120144
2,2,0.4059182851511808,2,2,0.8198614468468112
2,2,0.4069795131354344,2,2,0.8489078397688015
2,2,0.40001942118077644,2,2,0.8596093539239493
2,2,0.39559051544513746,2,2,0.9767257620819297
2,2,0.39602224739521547,2,2,0.9999534776794422
2,2,0.4050908309783067,2,2,0.999148459776175
2,2,0.4059151396908855,2,2,0.999958068110577
2,2,0.38993413520137066,2,2,0.9889475957614703
2,2,0.399575971674988,2,2,0.9947934771031647
2,2,0.4056198934643712,2,2,0.9999532994543694
2,2,0.40209693661551416,2,2,0.9948366638804638
2,2,0.40855563116182286,2,2,0.7819407332361631
2,2,0.4022230364497898,2,2,0.9980109768613041
0,2,0.39414884004013795,2,2,0.9641083043950901
0,2,0.3732123602982824,2,2,0.894136826652486
0,2,0.30242152891167057,2,2,0.8686974681763369
0,0,0.2401853860713803,2,2,0.7750421929024084
0,0,0.29565120645267273,0,2,0.5313278587823401
3,0,0.3885426257816019,0,0,0.5160292820417982
3,0,0.42097727223705544,0,0,0.9139186162827783
0,0,0.4352183053476189,0,0,0.9203976557530411
2,0,0.44090462678868547,0,0,0.512571187726596
0,0,0.4391941772440593,0,0,0.8092245005214972
0,0,0.44000696983885135,0,0,0.9999488736004641
0,0,0.42880466164016895,0,0,0.49952847510515846
0,0,0.44122893145854947,1,1,0.5565672874526224
0,0,0.437600757991252,1,1,0.5613523335271573
0,0,0.4434438380258804,0,0,0.5969974686615745
0,0,0.4452394590158077,0,0,0.8715661300204245
0,0,0.4341553877863059,0,0,0.46509957928517065
0,0,0.4389000126203836,0,0,0.90117459306523
0,0,0.44138316229673097,0,0,0.5181752757188192
0,0,0.4451675949112266,0,0,0.7818985706354072
0,0,0.4355275421310526,0,0,0.9956067252937817
0,0,0.4463723158341699,0,0,0.7840733259833436
0,0,0.4370295651640567,0,0,0.5752155607577898
0,0,0.43426618913799075,0,0,0.9547647535882439
0,0,0.43457321498017465,0,0,0.9923946702840499
0,0,0.41931954403363497,0,0,0.3336154224360016
0,0,0.4155249208497986,0,0,0.8803409067205941
0,0,0.3667440415498749,0,0,0.3683132027487354
0,0,0.2520751466371943,2,2,0.6878453772828479
2,2,0.3297461521083645,2,2,0.8000939927672538
2,2,0.37976511219800746,2,2,0.999664645051798
2,2,0.41983928326332487,2,2,0.9978339804737245
2,3,0.4188126920317126,2,2,0.964031159149305
0,3,0.32342409276692846,0,0,0.9902283068336057
0,4,0.6804315730522812,3,3,0.5587169435189376
3,4,0.7233096273526901,4,4,0.8473215628527578
3,4,0.38678531204760613,3,3,0.6291368038406239
2,3,0.3630859144666695,0,0,0.9564896476110966
2,3,0.3688846339557753,0,0,0.46027549155823555
2,3,0.40141031140387895,0,2,0.4874511435194928
2,3,0.4183930921946068,0,2,0.4989339659849191
0,0,0.44441161853052413,0,0,0.7870817187861857
0,0,0.4498127056054277,0,0,0.9998115731552253
0,0,0.4490382641806622,0,0,0.9963554623447624
0,0,0.45625534191399164,0,0,0.5171741976831457
0,0,0.44846276117451755,0,0,0.5820078049192893
0,0,0.44697678805040664,0,0,0.7847437159032812
0,0,0.4380747886697455,0,0,0.9469359971230782
